ID	Seq_ID	Plate	Well	Locality	CollectionYear	CollectionMonth	CollectinoDay	Lattitude	Longitude	PCL(mm)	FL(mm)	TL(mm)	STL(mm)	Weight(kg)	Sex	Maturity	Source	Comments
4498	meg_017	1	A1	M.East_GoM	2010	8	2	29.85126	-84.45116	450	490	620			F	JUV	Dean	
5261	key_050	1	A2	Keys	2011	7	21	24.44204	-82.09243						F		Dean	
5040	sca_012	1	A3	SC_Atl	2011	6	6	32.44792	-80.44583						M		Frasier	
4713	gaa_014	1	A4	GA_Atl	2010	6	22	31.11376	-81.203		724	904		4	M	I	Belcher	
5181	seg_024	1	A5	S.East_GoM	2011	2	18	24.92249	-82.74039						M		Dean	
5299	cca_001	1	A6	Cape Canaveral	2011	6	24	28.3	-80.6			1050			M		Dean	
5233	neg_014	1	A7	N.East_GoM	2011	11	21	29.83325	-88.16838		881	1002	1093	8.8	M	Mature	Marcus	
5079	txs_014	1	A8	TX	2011	9	10	28.731	-94.47417		849	1015		6	M		NMFS	
4283	nwg_026	1	A9	N.West_GoM	2009	9	11	28.86966667	-93.52666667	910	1112		7.6	M			NMFS	
5498	meg_029	1	A10	M.East_GoM	2012	5	16	29.82707	-84.50157	880	970	1190			F		Dean	
5159	key_023	1	A11	Keys	2011	7	17	24.44267	-81.81902						F		Dean	
4474	key_057	1	A12	Keys	2009	3	29	25.00729	-80.99848						F		Piercy	
5140	key_017	1	B1	Keys	2011	7	17	24.4498	-81.78337						F		Dean	
4497	sca_031	1	B2	SC_Atl	2010	5	2	32.3034	-80.70933333		890				M	y	Piercy	
4591	gaa_013	1	B3	GA_Atl	2010	6	16	30.8462	-81.40283333		855	1065		6	M	semi	Piercy	
4331	seg_020	1	B4	S.East_GoM	2009	8	14	25.02566667	-82.79833333		895	1100		7.8	F		NMFS	
4341	cca_007	1	B5	Cape Canaveral	2009	12	15	27.8601	-80.3587		780				M		NMFS	
4541	neg_021	1	B6	N.East_GoM	2010	7	12	29.943	-86.04066667		970	1180		7.5	M		NMFS	
4270	txs_006	1	B7	TX	2009	9	8	28.52917	-95.417		915	1115		7	M		NMFS	
5510	nwg_023	1	B8	N.West_GoM	2012	9	18	28.56667	-91.3265		940	1125		10.2	M		NMFS	
5525	meg_005	1	B9	M.East_GoM	2012	7	24	28.31932	-82.80813	540	590	740			M			
4297	key_063	1	B10	Keys	2009	6	11	25.01309	-81.00129						F		Piercy	
4537	sca_005	1	B11	SC_Atl	2010	8	11	32.445	-80.358		1018	1235			M		Frasier	"SC110110-2, 26 LB"
5070	gaa_026	1	B12	GA_Atl	2011	5	10	31.01371	-81.34171		890	1096		7.5	M	M	Belcher	
5183	seg_025	1	C1	S.East_GoM	2011	2	18	24.9125	-82.80363						F		Dean	
4338	cca_004	1	C2	Cape Canaveral	2009	12	15	27.8623	-80.3483		860				M		NMFS	
5196	neg_025	1	C3	N.East_GoM	2011	9	19	30.06367	-86.53817		506	622		1.3	F		NMFS	
4254	key_060	1	C4	Keys	2009	6	7	25.01309	-81.00129						F		Piercy	
4246	key_058	1	C5	Keys	2009	4	5	25.01165	-81.00707								Piercy	
5465	txs_022	1	C6	TX	2012	9	9	28.645	-94.52333		935	1145		9.2	M		NMFS	
4295	nwg_005	1	C7	N.West_GoM	2009	9	11	29.20617	-93.3675		910	1090		8.1	M		NMFS	
5540	meg_008	1	C8	M.East_GoM	2012	7	25	28.30379	-82.7753	525	580	720			F		Dean	
