id,pop,Ln Likelihood of Atlantic Membership,Ln Likelihood of Gulf of Mexico Membership,nloc
sca_001,South Carolina,-473.17,-501.25,2212
sca_002,South Carolina,-445.74,-466.61,2213
sca_003,South Carolina,-456.21,-475.9,2213
sca_004,South Carolina,-471.46,-487.45,2212
sca_005,South Carolina,-440.32,-460.19,2213
sca_006,South Carolina,-476.65,-498.24,2213
sca_007,South Carolina,-443.43,-464.42,2213
sca_008,South Carolina,-458.18,-475.45,2213
sca_009,South Carolina,-451.98,-478.96,2213
sca_010,South Carolina,-448.05,-463.24,2213
sca_011,South Carolina,-431.46,-442.71,2212
sca_012,South Carolina,-457.43,-479.82,2213
sca_013,South Carolina,-473.12,-492.41,2212
sca_015,South Carolina,-456.36,-462.78,2211
sca_016,South Carolina,-437.21,-443.58,2211
sca_017,South Carolina,-457.41,-475.36,2029
sca_018,South Carolina,-442.35,-461.72,2213
sca_019,South Carolina,-453.59,-475.12,2212
sca_020,South Carolina,-439.05,-466.33,2212
sca_021,South Carolina,-450.07,-467.65,2212
sca_022,South Carolina,-451.42,-473.55,2213
sca_023,South Carolina,-439.9,-463.37,2210
sca_024,South Carolina,-448.8,-463.87,2191
sca_027,South Carolina,-467.25,-496.35,2211
sca_029,South Carolina,-439.42,-457.25,2204
sca_030,South Carolina,-423.85,-451.54,2212
sca_031,South Carolina,-444.35,-466.51,2212
sca_032,South Carolina,-460.21,-479.17,2212
gaa_001,Georgia,-444.08,-457.02,2212
gaa_002,Georgia,-448.99,-474.53,2212
gaa_004,Georgia,-450.88,-470.92,2211
gaa_005,Georgia,-475.12,-491.82,2213
gaa_006,Georgia,-471.03,-484.75,2212
gaa_007,Georgia,-461.38,-483,2183
gaa_008,Georgia,-429.77,-447.74,2213
gaa_009,Georgia,-440.01,-458.01,2213
gaa_010,Georgia,-457.74,-484.15,2211
gaa_012,Georgia,-464.89,-488.26,2139
gaa_013,Georgia,-437.2,-460.83,2213
gaa_014,Georgia,-443.52,-465.53,2212
gaa_015,Georgia,-471.29,-492.45,2210
gaa_016,Georgia,-457.38,-477.23,2213
gaa_018,Georgia,-455.26,-477.12,2213
gaa_019,Georgia,-451.34,-472.33,2211
gaa_020,Georgia,-445.39,-456.5,2209
gaa_021,Georgia,-437.02,-459.99,2212
gaa_022,Georgia,-454.44,-471.59,2213
gaa_023,Georgia,-449.87,-464.07,2211
gaa_024,Georgia,-471.06,-491.6,2213
gaa_026,Georgia,-441.05,-461.36,2213
gaa_027,Georgia,-440.1,-456.46,2212
gaa_028,Georgia,-480.5,-507.37,2212
gaa_029,Georgia,-477.45,-498.04,2212
gaa_031,Georgia,-439.89,-450.69,2212
gaa_032,Georgia,-439.43,-464.45,2212
gaa_033,Georgia,-459.3,-466.93,2204
gaa_034,Georgia,-464.99,-503.03,2213
gaa_035,Georgia,-459.83,-481.61,1926
cca_001,Cape Canaveral,-448.85,-470.72,2089
cca_002,Cape Canaveral,-440.61,-466.05,2119
cca_003,Cape Canaveral,-412.22,-431.41,2113
cca_005,Cape Canaveral,-448.45,-451.45,2213
cca_007,Cape Canaveral,-461.07,-485.58,2211
cca_008,Cape Canaveral,-469.34,-463.81,2212
cca_009,Cape Canaveral,-466.44,-486.07,2211
cca_010,Cape Canaveral,-457.68,-479.39,2212
